bx,by,bz
42.84,2.154,1.179
42.852,2.146,1.167
42.871,2.135,1.167
42.891,2.12,1.151
42.922,2.104,1.159
42.891,2.154,1.217
42.864,2.162,1.217
42.844,2.173,1.221
42.836,2.162,1.218
42.833,2.162,1.202
42.837,2.158,1.206
42.84,2.143,1.198
42.856,2.13,1.19
42.868,2.127,1.194
42.888,2.112,1.182
42.918,2.093,1.198
42.875,2.143,1.167
42.86,2.15,1.179
42.844,2.165,1.182
42.84,2.158,1.182
42.836,2.162,1.167
42.84,2.154,1.171
42.844,2.146,1.167
42.855,2.131,1.164
42.867,2.112,1.171
42.875,2.111,1.171
42.894,2.096,1.199
42.856,2.143,1.143
42.847,2.15,1.164
42.844,2.161,1.164
42.84,2.154,1.163
42.84,2.158,1.147
42.844,2.146,1.151
42.847,2.135,1.152
42.855,2.135,1.148
42.859,2.116,1.16
42.859,2.112,1.152
42.851,2.097,1.196
42.828,2.15,1.164
42.847,2.158,1.164
42.851,2.165,1.148
42.847,2.158,1.14
42.843,2.158,1.129
42.844,2.146,1.136
42.851,2.139,1.137
42.859,2.135,1.124
42.867,2.111,1.128
42.851,2.116,1.108
42.805,2.104,1.124
42.836,2.143,1.238
42.874,2.154,1.179
42.871,2.173,1.136
42.852,2.169,1.116
42.836,2.169,1.104
42.832,2.165,1.124
42.848,2.146,1.132
42.872,2.139,1.127
42.894,2.127,1.104
42.883,2.128,1.045
42.813,2.12,0.99
42.732,2.26,1.249
42.758,2.283,1.242
42.762,2.313,1.249
42.757,2.305,1.246
42.757,2.309,1.219
42.765,2.309,1.215
42.773,2.305,1.192
42.781,2.305,1.184
42.781,2.313,1.195
42.753,2.317,1.176
42.691,2.336,1.121
42.757,2.26,1.294
42.765,2.279,1.263
42.768,2.301,1.251
42.769,2.305,1.239
42.772,2.305,1.208
42.777,2.298,1.204
42.78,2.298,1.18
42.791,2.298,1.165
42.796,2.294,1.157
42.796,2.294,1.114
42.803,2.29,1.047
42.802,2.26,1.295
42.795,2.275,1.264
42.787,2.286,1.241
42.787,2.29,1.225
42.788,2.282,1.197
42.787,2.279,1.19
42.799,2.279,1.166
42.807,2.279,1.146
42.823,2.279,1.138
42.841,2.271,1.095
42.884,2.256,1.052
42.838,2.26,1.276
42.818,2.267,1.248
42.802,2.278,1.237
42.798,2.279,1.217
42.798,2.282,1.19
42.806,2.275,1.186
42.814,2.267,1.163
42.826,2.252,1.146
42.845,2.256,1.139
42.876,2.252,1.108
42.915,2.237,1.092
42.86,2.252,1.237
42.829,2.267,1.226
42.817,2.271,1.206
42.814,2.26,1.198
42.81,2.263,1.178
42.814,2.26,1.174
42.825,2.26,1.155
42.841,2.244,1.146
42.86,2.237,1.139
42.888,2.226,1.119
42.923,2.214,1.115
42.872,2.233,1.194
